,title,handle,price,sku,quantity,available
47,"3 Comp./No DB, Bowl(18x18) with 3 drain baskets",https://bestwareshop.com/products/3-comp-no-db-bowl18x18-with-3-drain-baskets,425.99,BS3-18-12/N,1,True
48,"3 Comp./Right DB, Bowl(18x18) with 3 drain baskets",https://bestwareshop.com/products/3-comp-right-db-bowl18x18-with-3-drain-baskets,437.99,BS3-18-12/R,1,True
49,"3 Comp./Left DB, Bowl(18x18) with 3 drain baskets",https://bestwareshop.com/products/3-comp-left-db-bowl18x18-with-3-drain-baskets,437.99,BS3-18-12/L,1,True
50,"3 Comp./2 DB, Bowl(18x18) with 3 drain baskets",https://bestwareshop.com/products/3-comp-2-db-bowl18x18-with-3-drain-baskets,453.99,BS3-18-12/2D,1,True
51,"2 Comp./No DB, Bowl(18x18) with 2 drain baskets",https://bestwareshop.com/products/2-comp-no-db-bowl18x18-with-2-drain-baskets,360.99,BS2-18-12/N,1,True
52,"2 Comp./Right DB, Bowl(18x18) with 2 drain baskets",https://bestwareshop.com/products/2-comp-right-db-bowl18x18-with-2-drain-baskets,369.99,BS2-18-12/R,1,True
53,"2 Comp./Left DB, Bowl(18x18) with 2 drain baskets",https://bestwareshop.com/products/2-comp-left-db-bowl18x18-with-2-drain-baskets,369.99,BS2-18-12/L,1,True
54,"2 Comp./2 DB, Bowl(18x18) with 2 drain baskets",https://bestwareshop.com/products/2-comp-2-db-bowl18x18-with-2-drain-baskets,404.99,BS2-18-12/2D,1,True
55,"1 Comp./Right DB, Bowl(18x18) with 1 drain basket",https://bestwareshop.com/products/1-comp-right-db-bowl18x18-with-1-drain-basket,304.99,BS1-18-12/R,1,True
56,"1 Comp./Left DB, Bowl(18x18) with 1 drain basket",https://bestwareshop.com/products/1-comp-left-db-bowl18x18-with-1-drain-basket,304.99,BS1-18-12/L,1,True
57,"1 Comp./2 DB, Bowl(18x18) with 1 drain basket",https://bestwareshop.com/products/1-comp-2-db-bowl18x18-with-1-drain-basket,324.99,BS1-18-12/2D,1,True
58,"1Comp./No DB, Bowl(18x18x13) Mop. with1 drain basket",https://bestwareshop.com/products/1comp-no-db-bowl18x18x13-mop-with1-drain-basket,194.99,BSM-18,1,True
59,"1 Comp./No DB, Bowl(18x18x13)Prep. with1 drain basket",https://bestwareshop.com/products/1-comp-no-db-bowl18x18x13prep-with1-drain-basket,194.99,BSP-18,1,True
60,Hand Sink with Splash Guard  & 1 Lead Free Faucet(10x14) & 1 Drain Basket.,https://bestwareshop.com/products/hand-sink-with-splash-guard-1-lead-free-faucet10x14-1-drain-basket,204.99,BSH-14-SP,1,True
61,Hand Sink with 1 Lead Free Faucet(10x14) & 1 Drain Basket.,https://bestwareshop.com/products/hand-sink-with-1-lead-free-faucet10x14-1-drain-basket,118.99,BSH-14/LF,1,True
62,"60"" Range 6 Burner w/ Oven, 24"" Griddle",https://bestwareshop.com/products/60-range-6-burner-w-oven-24-griddle,3155.99,BFR-60-24G,1,True
63,"60"" Range 6 Burner w/ Oven, 24"" Char Boiler",https://bestwareshop.com/products/60-range-6-burner-w-oven-24-char-boiler,3155.99,BFR-60-24B,1,True
64,"60"" Range 10 Burner w/ Oven 30,000 btu/ burner, 200-500F",https://bestwareshop.com/products/60-range-10-burner-w-oven-30-000-btu-burner-200-500f,2764.99,BFR-60-10,1,True
65,"36"" Range 4 Burner w/ Oven 30,000 btu/ burner, 200-500F",https://bestwareshop.com/products/36-range-4-burner-w-oven-30-000-btu-burner-200-500f,1316.99,BFR-36-6,1,True
66,"24"" Range 4 Burner w/ Oven 30,000 btu/ burner, 200-500F",https://bestwareshop.com/products/24-range-4-burner-w-oven-30-000-btu-burner-200-500f,1253.99,BFR-24-4,1,True
67,"48"" GRIDDLE THICK TOP",https://bestwareshop.com/products/48-griddle-thick-top,1938.99,BFTG-48,1,True
68,"36"" GRIDDLE THICK TOP",https://bestwareshop.com/products/36-griddle-thick-top,1453.99,BFTG-36,1,True
69,"16""W FRYER 90 LBS Solid State LP",https://bestwareshop.com/products/16w-fryer-90-lbs-solid-state-lp,1783.99,BFF-80-ST-LP,1,True
70,"16""W FRYER 50 LBS Solid State LP",https://bestwareshop.com/products/16w-fryer-50-lbs-solid-state-lp,1581.99,BFF-50-ST-LP,1,True
71,"16""W FRYER 90 LBS SOLID STATE",https://bestwareshop.com/products/16w-fryer-90-lbs-solid-state,1783.99,BFF-80-ST-NG,1,True
72,"16""W FRYER 50LBS SOLID STATE",https://bestwareshop.com/products/16w-fryer-50lbs-solid-state,1581.99,BFF-50-ST-NG,1,True
73,"16""W FRYER 90LBS Liquid Propane",https://bestwareshop.com/products/16w-fryer-90lbs-liquid-propane,1022.99,BFF-80-LP,1,True
74,"16""W FRYER 50LBS Liquid Propane",https://bestwareshop.com/products/16w-fryer-50lbs-liquid-propane,804.99,BFF-50-LP,1,True
75,"16""W FRYER 40LBS Liquid Propane",https://bestwareshop.com/products/16w-fryer-40lbs-liquid-propane,701.99,BFF-40-LP,1,True
76,"16""W FRYER 90 LBS",https://bestwareshop.com/products/16w-fryer-90-lbs,1022.99,BFF-80-NG,1,True
77,"16""W FRYER 50LBS",https://bestwareshop.com/products/16w-fryer-50lbs,804.99,BFF-50-NG,1,True
78,"16""W FRYER 40LBS",https://bestwareshop.com/products/16w-fryer-40lbs,701.99,BFF-40-NG,1,True
79,"48"" RADIANT BROILER",https://bestwareshop.com/products/48-radiant-broiler,1166.99,BFRB-48,1,True
80,"36"" RADIANT BROILER",https://bestwareshop.com/products/36-radiant-broiler,906.99,BFRB-36,1,True
81,"24"" RADIANT BROILER",https://bestwareshop.com/products/24-radiant-broiler,654.99,BFRB-24,1,True
82,"36"" HOT PLATE",https://bestwareshop.com/products/36-hot-plate,789.99,BFHP-36-6,1,True
83,"24"" HOT PLATE",https://bestwareshop.com/products/24-hot-plate,583.99,BFHP-24-4,1,True
84,"12"" HOT PLATE",https://bestwareshop.com/products/12-hot-plate,381.99,BFHP-12-2,1,True
85,"60"" GRIDDLE",https://bestwareshop.com/products/60-griddle,1559.99,BFMG-60,1,True
86,"48"" GRIDDLE",https://bestwareshop.com/products/48-griddle,1112.99,BFMG-48,1,True
87,"36"" GRIDDLE",https://bestwareshop.com/products/36-griddle,850.99,BFMG-36,1,True
88,"24"" GRIDDLE",https://bestwareshop.com/products/24-griddle,598.99,BFMG-24,1,True
89,"24"" DOUBLE STOCK POT RANGE",https://bestwareshop.com/products/24-double-stock-pot-range,1049.99,BFSP-18-2B,1,True
90,"24"" STOCK POT RANGE",https://bestwareshop.com/products/24-stock-pot-range,461.99,BFSP-18-1B,1,True
91,Triple filtration system (including water pressure gauge),https://bestwareshop.com/products/triple-filtration-system-including-water-pressure-gauge,359.99,DH-S3,1,True
92,Dual filtration system (including water pressure gauge),https://bestwareshop.com/products/dual-filtration-system-including-water-pressure-gauge,224.99,DH-S2,1,True
93,Single filtration system (including water pressure gauge),https://bestwareshop.com/products/single-filtration-system-including-water-pressure-gauge,141.99,DH-S1,1,True
94,Replacement Filtration Cartridge,https://bestwareshop.com/products/replacement-filtration-cartridge,49.99,DH-R1,1,True
95,850 LBS ICE MAKER MODULAR TYPE,https://bestwareshop.com/products/850-lbs-ice-maker-modular-type,3602.99,BLMI-900A,1,True
96,"650 LBS ICE MAKER MODULAR TYPE,",https://bestwareshop.com/products/650-lbs-ice-maker-modular-type,3034.99,BLMI-650A,1,True
97,300 LBS ICE MAKER MODULAR TYPE,https://bestwareshop.com/products/300-lbs-ice-maker-modular-type,2357.99,BLMI-300A,1,True
98,250LBS ICE MAKER UNDER COUNTER MODEL,https://bestwareshop.com/products/250lbs-ice-maker-under-counter-model,2029.99,BLUI-250A,1,True
99,150LBS ICE MAKER UNDER COUNTER MODEL,https://bestwareshop.com/products/150lbs-ice-maker-under-counter-model,1633.99,BLUI-150A,1,True
100,Money Manager Safe with Electric Lock,https://bestwareshop.com/products/money-manager-safe-with-electric-lock,881.99,BS3D2EE,1,True
101,500 W (250*2) Food Warmer / 2 Shatter Proof Bulbs are included,https://bestwareshop.com/products/500-w-250-2-food-warmer-2-shatter-proof-bulbs-are-included,92.99,BWL500,1,True
102,1 HP Heavy Duty Meat Grinder,https://bestwareshop.com/products/1-hp-heavy-duty-meat-grinder,508.99,BMG480,1,True
103,"72"" Vertical Open Display Case, Glass Side Panel",https://bestwareshop.com/products/72-vertical-open-display-case-glass-side-panel,7125.99,BOD-72G,1,True
104,"60"" Vertical Open Display Case, Glass Side Panel",https://bestwareshop.com/products/60-vertical-open-display-case-glass-side-panel,6402.99,BOD-60G,1,True
105,"48"" Vertical Open Display Case, Glass Side Panel",https://bestwareshop.com/products/48-vertical-open-display-case-glass-side-panel,5708.99,BOD-48G,1,True
106,"36"" Vertical Open Display Case, Glass Side Panel",https://bestwareshop.com/products/36-vertical-open-display-case-glass-side-panel,5325.99,BOD-36G,1,True
107,"60"" Vertical Open Display Case, Solid Side Panel",https://bestwareshop.com/products/60-vertical-open-display-case-solid-side-panel,6028.99,BOD-60S,1,True
108,"48"" Vertical Open Display Case, Solid Side Panel",https://bestwareshop.com/products/48-vertical-open-display-case-solid-side-panel,5335.99,BOD-48S,1,True
109,"36"" Vertical Open Display Case, Solid Side Panel",https://bestwareshop.com/products/36-vertical-open-display-case-solid-side-panel,4952.99,BOD-36S,1,True
110,"3 Doors Narrow Back Bar Cooler,  Black Finish Exterior, W72""",https://bestwareshop.com/products/3-doors-narrow-back-bar-cooler-black-finish-exterior-w72,2544.99,BNB-72BT-HC,1,True
111,"2 Doors Narrow Back Bar Cooler,  Black Finish Exterior, W60""",https://bestwareshop.com/products/2-doors-narrow-back-bar-cooler-black-finish-exterior-w60,2217.99,BNB-60BT-HC,1,True
112,"2 Door Narrow Back Bar Cooler,  Black Finish Exterior, W48""",https://bestwareshop.com/products/2-door-narrow-back-bar-cooler-black-finish-exterior-w48,1991.99,BNB-48BT-HC,1,True
113,"Bottle Cooler 3 slide tops, Black Finish Exterior, W90""",https://bestwareshop.com/products/bottle-cooler-3-slide-tops-black-finish-exterior-w90,2359.99,BBC-95B-HC,1,True
114,"Bottle Cooler 3 slide tops, Black Finish Exterior, W80""",https://bestwareshop.com/products/bottle-cooler-3-slide-tops-black-finish-exterior-w80,2024.99,BBC-80B-HC,1,True
115,"Bottle Cooler 2 slide tops, Black Finish Exterior, W65""",https://bestwareshop.com/products/bottle-cooler-2-slide-tops-black-finish-exterior-w65,1571.99,BBC-65B-HC,1,True
116,"Bottle Cooler 2 slide tops, Black Finish Exterior, W50""",https://bestwareshop.com/products/bottle-cooler-2-slide-tops-black-finish-exterior-w50,1480.99,BBC-50B-HC,1,True
117,"Bottle Cooler 1 slide top, Black Finish Exterior, W36""",https://bestwareshop.com/products/bottle-cooler-1-slide-top-black-finish-exterior-w36,1298.99,BBC-36B-HC,1,True
118,"3 Glass Doors Back Bar Cooler, S/Steel Exterior, W90""",https://bestwareshop.com/products/3-glass-doors-back-bar-cooler-s-steel-exterior-w90,3406.99,BBB90-4SG-HC,1,True
119,"2 Glass Doors Back Bar Cooler, S/Steel Exterior, W69""",https://bestwareshop.com/products/2-glass-doors-back-bar-cooler-s-steel-exterior-w69,2666.99,BBB69-3SG-HC,1,True
120,"2 Glass Doors Back Bar Cooler, S/Steel Exterior, W59""",https://bestwareshop.com/products/2-glass-doors-back-bar-cooler-s-steel-exterior-w59,2452.99,BBB59-2SG-HC,1,True
121,"1 Glass Door Back Bar Cooler, S/Steel Exterior, W23""",https://bestwareshop.com/products/1-glass-door-back-bar-cooler-s-steel-exterior-w23,1496.99,BBB23-1SG-HC,1,True
122,"3 Doors Back Bar Cooler, S/Steel Exterior, W90""",https://bestwareshop.com/products/3-doors-back-bar-cooler-s-steel-exterior-w90,2903.99,BBB90-4S-HC,1,True
123,"2 Doors Back Bar Cooler, S/Steel Exterior, W69""",https://bestwareshop.com/products/2-doors-back-bar-cooler-s-steel-exterior-w69,2435.99,BBB69-3S-HC,1,True
124,"2 Doors Back Bar Cooler, S/Steel Exterior, W59""",https://bestwareshop.com/products/2-doors-back-bar-cooler-s-steel-exterior-w59,2243.99,BBB59-2S-HC,1,True
125,"1 Door Back Bar Cooler, S/Steel Exterior, W23""",https://bestwareshop.com/products/1-door-back-bar-cooler-s-steel-exterior-w23,1328.99,BBB23-1S-HC,1,True
126,"3 Glass Doors Back Bar Cooler, Black Finish Exterior, W90""",https://bestwareshop.com/products/3-glass-doors-back-bar-cooler-black-finish-exterior-w90,2609.99,BBB90-4BG-HC,1,True
127,"2 Glass Doors Back Bar Cooler, Black Finish Exterior, W69""",https://bestwareshop.com/products/2-glass-doors-back-bar-cooler-black-finish-exterior-w69,2134.99,BBB69-3BG-HC,1,True
128,"2 Glass Doors Back Bar Cooler, Black Finish Exterior, W59""",https://bestwareshop.com/products/2-glass-doors-back-bar-cooler-black-finish-exterior-w59,2031.99,BBB59-2BG-HC,1,True
129,"1 Glass Door Back Bar Cooler, Black Finish Exterior, W23""",https://bestwareshop.com/products/1-glass-door-back-bar-cooler-black-finish-exterior-w23,1295.99,BBB23-1BG-HC,1,True
130,"3 Doors Back Bar Cooler, Black Finish Exterior, W90""",https://bestwareshop.com/products/3-doors-back-bar-cooler-black-finish-exterior-w90,2310.99,BBB90-4B-HC,1,True
131,"2 Doors Back Bar Cooler, Black Finish Exterior, W69""",https://bestwareshop.com/products/2-doors-back-bar-cooler-black-finish-exterior-w69,1948.99,BBB69-3B-HC,1,True
132,"2 Doors Back Bar Cooler, Black Finish Exterior, W59""",https://bestwareshop.com/products/2-doors-back-bar-cooler-black-finish-exterior-w59,1858.99,BBB59-2B-HC,1,True
133,"1 Door Back Bar Cooler, Black Finish Exterior, W23""",https://bestwareshop.com/products/1-door-back-bar-cooler-black-finish-exterior-w23,1150.99,BBB23-1B-HC,1,True
134,"3 Doors Keg cooler, S/Steel Exterior, 4 1/2 Barrels W69""",https://bestwareshop.com/products/3-doors-keg-cooler-s-steel-exterior-4-1-2-barrels-w69,3347.99,BDD90-4S-HC,1,True
135,"2 Doors Keg cooler, S/Steel Exterior, 3 1/2 Barrels W69""",https://bestwareshop.com/products/2-doors-keg-cooler-s-steel-exterior-3-1-2-barrels-w69,2740.99,BDD69-3S-HC,1,True
136,"2 Doors Keg cooler, S/Steel Exterior, 2 1/2 Barrels W59""",https://bestwareshop.com/products/2-doors-keg-cooler-s-steel-exterior-2-1-2-barrels-w59,2495.99,BDD59-2S-HC,1,True
137,"1 Door Keg cooler, S/Steel Exterior, 1 1/2 Barrel W23""",https://bestwareshop.com/products/1-door-keg-cooler-s-steel-exterior-1-1-2-barrel-w23,1669.99,BDD23-1S-HC,1,True
138,"3 Doors Keg cooler, Black Finish Exterior, 4 1/2 Barrels W90""",https://bestwareshop.com/products/3-doors-keg-cooler-black-finish-exterior-4-1-2-barrels-w90,2695.99,BDD90-4B-HC,1,True
139,"2 Doors Keg cooler, Black Finish Exterior, 3 1/2 Barrels W69""",https://bestwareshop.com/products/2-doors-keg-cooler-black-finish-exterior-3-1-2-barrels-w69,2444.99,BDD69-3B-HC,1,True
140,"2 Doors Keg cooler, Black Finish Exterior, 2 1/2 Barrels W59""",https://bestwareshop.com/products/2-doors-keg-cooler-black-finish-exterior-2-1-2-barrels-w59,2255.99,BDD59-2B-HC,1,True
141,"1 Door Keg cooler, Black Finish Exterior, 1 1/2 Barrel W23""",https://bestwareshop.com/products/1-door-keg-cooler-black-finish-exterior-1-1-2-barrel-w23,1278.99,BDD23-1B-HC,1,True
142,"4 Drawers Chef Base 96"",Marin Edge",https://bestwareshop.com/products/4-drawers-chef-base-96-marin-edge,4435.99,BACB96M-HC,1,True
143,"4 Drawers Chef Base 86"",Marin Edge",https://bestwareshop.com/products/4-drawers-chef-base-86-marin-edge,3859.99,BACB86M-HC,1,True
144,"4 Drawers Chef Base 74"",Marin Edge",https://bestwareshop.com/products/4-drawers-chef-base-74-marin-edge,3440.99,BACB74M-HC,1,True
145,"2 Drawers Chef Base 53"",Marin Edge",https://bestwareshop.com/products/2-drawers-chef-base-53-marin-edge,2927.99,BACB53M-HC,1,True
146,"2 Drawers Chef Base 48"",(FLAT TOP : PTION)",https://bestwareshop.com/products/2-drawers-chef-base-48-flat-top-ption,2838.99,BACB48M-HC,1,True
147,"2 Drawers Chef Base 36"",(FLAT TOP : PTION)",https://bestwareshop.com/products/2-drawers-chef-base-36-flat-top-ption,2622.99,BACB36M-HC,1,True
148,All Stainless Pizza Prep Table with 4 Drawers and 1 Solid Door to the Left,https://bestwareshop.com/products/all-stainless-pizza-prep-table-with-4-drawers-and-1-solid-door-to-the-left,5094.99,BAPP93-D4RM-HC,1,True
149,All Stainless Pizza Prep Table with 4 Drawers,https://bestwareshop.com/products/all-stainless-pizza-prep-table-with-4-drawers,4032.99,BAPP67-D4-HC,1,True
150,All Stainless Pizza Prep Table with 2 Drawers,https://bestwareshop.com/products/all-stainless-pizza-prep-table-with-2-drawers,2652.99,BAPP44-D2-HC,1,True
151,3 Doors All Stainless Pizza Prep.Table,https://bestwareshop.com/products/3-doors-all-stainless-pizza-prep-table,4297.99,BAPP93-HC,1,True
152,2 Doors All Stainless Pizza Prep.Table,https://bestwareshop.com/products/2-doors-all-stainless-pizza-prep-table,3235.99,BAPP67-HC,1,True
153,1 Door All Stainless Pizza Prep.Table,https://bestwareshop.com/products/1-door-all-stainless-pizza-prep-table,2230.99,BAPP44-HC,1,True
154,"72"" Models (BLPT/BLMT/BLUR - Middle Drawer set)",https://bestwareshop.com/products/72-models-blpt-blmt-blur-middle-drawer-set,471.99,BDR-72M (Drawer 2ea-1set),1,True
155,"60"" Models (BLPT/BLMT/BLUR - Right section drawer set)",https://bestwareshop.com/products/60-models-blpt-blmt-blur-right-section-drawer-set,494.99,BDR-60R (Drawer 2ea-1set),1,True
156,"60"" Models (BLPT/BLMT/BLUR - Left section drawer set)",https://bestwareshop.com/products/60-models-blpt-blmt-blur-left-section-drawer-set,494.99,BDR-60L (Drawer 2ea-1set),1,True
157,"48"" Models (BLPT/BLMT/BLUR - Right section drawer set)",https://bestwareshop.com/products/48-models-blpt-blmt-blur-right-section-drawer-set,467.99,BDR-48R72R (Drawer 2ea-1set),1,True
158,"48"" Models (BLPT/BLMT/BLUR - Left section drawer set)",https://bestwareshop.com/products/48-models-blpt-blmt-blur-left-section-drawer-set,467.99,BDR-48L72L (Drawer 2ea-1set),1,True
159,"28"" Models (BLPT/BLMT/BLUR - Drawer set)",https://bestwareshop.com/products/28-models-blpt-blmt-blur-drawer-set,487.99,BDR-27 (Drawer 2ea-1set),1,True
